File Name,Date of Petition,Date Comments,Identity of Submitting Entity,Representation Details,Cited Statutes or Regulations,FDA Action Commented On,Requested Action,Justification for Request,Comments by RA
FDA-2019-P-3192-0001_Citizen_Petition_from_US_WorldMeds.pdf,"July 1, 2019",,"US WorldMeds, LLC","Not Mentioned (Petition is submitted directly by Brian Fitzpatrick, VP of Regulatory Affairs at US WorldMeds)","Section 505(j) of the FDCA (Abbreviated New Drug Applications)
- 21 C.F.R. § 314.93 (Suitability Petitions)
- 21 C.F.R. § 10.30 (Citizen Petition procedures)
- 21 C.F.R. § 25.31(a) (Environmental impact exclusion)
- 21 C.F.R. § 10.30(b) (Economic impact statement)","FDA’s policy on the approval pathway for naloxone hydrochloride formulations differing in strength from the RLD, Evzio® (naloxone hydrochloride injection, auto-injector)","FDA to determine that the following proposed strengths are suitable for ANDA submission:
- Naloxone hydrochloride auto-injector 0.6 mg/0.6 mL
- Naloxone hydrochloride auto-injector 2.4 mg/0.6 mL","The proposed strengths are proportional to the currently approved Evzio 0.4 mg/0.4 mL and 2 mg/0.4 mL products.
- All products share the same route of administration, dosage form, and indication.
- Changing the injection volume does not affect safety or efficacy.
- Proposes benefit for manufacturing efficiency and potential for expanded access.
- Petition includes FDA precedent allowing similar changes via the suitability petition process.",
FDA-2019-P-1911-0001_Citizen_Petition_from_Keller_and_Heckman_LLP_on_be.pdf,"April 19, 2019",,Keller and Heckman LLP,"Keller and Heckman LLP submitted the petition on behalf of:
- Nexira
- Ingredion Incorporated
- TIC Gums
- Alland & Robert
- Importers Service Corporation","21 C.F.R. § 10.30
- 21 C.F.R. § 101.9(c)(6)(i)
- Sections 403(q), 403(a), 201(n), and 701(a) of the Federal Food, Drug, and Cosmetic Act
- 21 C.F.R. §§ 172.780 and 184.1330
- 21 C.F.R. § 25.30(h)","FDA’s existing definition of “dietary fiber” in 21 C.F.R. § 101.9(c)(6)(i), specifically the list of isolated or synthetic non-digestible carbohydrates recognized as beneficial to human health for nutrition labeling purposes",Amend the regulation defining “dietary fiber” at 21 C.F.R. § 101.9(c)(6)(i) to include “Acacia (gum arabic)” as a recognized dietary fiber with beneficial physiological effects,"The petition provides extensive scientific evidence showing that Gum Acacia:
- Attenuates postprandial blood glucose and insulin levels
- Increases satiety and reduces energy intake
Multiple human clinical studies (e.g., University of Minnesota 2019, GI Labs 2019, Sharma 1985b, Akeo 2002, Calame et al. 2011) support these benefits
- FDA has previously accepted similar physiological effects for dietary fiber classification
- GA is already approved as a food additive and considered GRAS (Generally Recognized As Safe)",
FDA-2019-P-4507-0001_Citizen_Petition_from_Foley___Lardner_LLP.pdf,"September 26, 2019",,Foley & Lardner LLP,"Foley & Lardner LLP submitted the petition, but the client they may represent is not named. Therefore: Not Mentioned","Section 505(j) of the Federal Food, Drug, and Cosmetic Act
- 21 C.F.R. § 10.25(a)
- 21 C.F.R. § 10.30
- 21 C.F.R. § 25.1(g) (Environmental impact exclusion)
- 21 C.F.R. § 10.30(b) (Economic impact disclosure)","The FDA’s designation of a Reference Standard (RS) for Oxybutynin Chloride Extended Release Tablets 15 mg. Specifically, the agency currently designates Mylan’s ANDA (No. 076644) as the RS product, which is difficult to source.",FDA should designate Accord Healthcare Inc.’s ANDA No. 207138 for Oxybutynin Chloride ER Tablets 15 mg as an additional Reference Standard product,"The original RLD, Ditropan XL (NDA #020897), is discontinued.
- The current RS product (by Mylan) is unavailable on the market.
- Accord’s product is readily available and has the highest sales volume among competing products.
- FDA guidance permits petitions to designate alternative RS products when the designated RS is not accessible.",
FDA-2019-P-5760-0006_Amend_to_Citizen_Petition_from_Sun_Pharmaceutical_.pdf,"July 7, 2021","July 7, 2021 (amendment to an original submission dated December 6, 2019)",Sun Pharmaceutical Industries Limited,"No external legal representation mentioned; petition submitted directly by the company through Nayna Daptardar, Senior General Manager, Regulatory & Business Continuity","505(j)(2)(C) of the Federal Food, Drug, and Cosmetic Act
- 21 C.F.R. § 10.20
- 21 C.F.R. § 10.30
- 21 C.F.R. § 314.93
- 21 C.F.R. § 25.31 (Environmental impact categorical exclusion)","Suitability for ANDA submission involving a change in concentration of the drug Levetiracetam in Sodium Chloride Injection compared to the Reference Listed Drug (RLD), due to approval of an alternative strength RLD (250 mg/50 mL) on December 14, 2020","FDA should determine that Levetiracetam in Sodium Chloride Injection, 250 mg/100 mL (2.5 mg/mL) is suitable for submission via an ANDA. The proposed strength differs from the RLD (250 mg/50 mL, 5 mg/mL) only in concentration, not total drug content","Maintains same total drug content (250 mg), but in a larger volume to adjust concentration to 2.5 mg/mL.
- Intended to better accommodate dose adjustments for patients with renal impairment, as required in the RLD’s labeling.
- No change in formulation, route of administration, or labeling apart from the strength.
- No safety or effectiveness concerns are raised by this change.",
FDA-2019-P-2074-0001_Citizen_Petition_from_Encube_Ethicals_Private_Limi.pdf,"April 30, 2019",,Encube Ethicals Private Limited (Encube),"Not Mentioned (petition was submitted directly by Encube’s General Manager - Regulatory Affairs, Mr. Jayant Muley)","Federal Food, Drug, and Cosmetic Act (FDC Act)
- 21 C.F.R. § 10.25(a)
- 21 C.F.R. § 10.30
- 21 C.F.R. § 25.31 (Environmental impact exemption)
- 21 C.F.R. § 10.30(b) (Economic impact disclosure)","Current designation of EFUDEX (NDA #N016831), manufactured by Valeant, as the Reference Standard (RS) for Fluorouracil Topical Solution, 5%, which is unavailable in the market due to manufacturer backorder","FDA should designate Fluorouracil Topical Solution, 5% manufactured by Taro Pharmaceutical Industries Ltd. (ANDA #A076526) as the new Reference Standard (RS)","EFUDEX is not available in sufficient quantity and is on long-term manufacturer backorder.
- Multiple attempts to source the RLD failed.
- Designation of an alternative RS (Taro’s product) would allow generic development and required bioequivalence studies to proceed",
FDA-2019-P-1679-0001_Citizen_Petition_from_Goodwin_Procter___LLP_on_beh.pdf,"April 5, 2019",,Goodwin Procter LLP,Goodwin Procter LLP is representing Braeburn Inc.,"21 C.F.R. § 10.30
- Section 505(j) of the FDC Act
- 505(q) of the FDC Act
- 21 C.F.R. § 320.22 (Bioequivalence waiver)","The petition comments on the acceptance or approval of any ANDA referencing Sublocade® (NDA 209819) unless it demonstrates full bioequivalence and clinical comparability, particularly regarding the drug’s complex delivery system and pharmacokinetics","FDA should:
- Not accept or approve any ANDA referencing Sublocade unless the applicant demonstrates bioequivalence through an in vivo study and shows that the proposed product has the same design and release characteristics.
- Require in vivo bioequivalence data and clinical comparability due to complexity of the delivery system and safety profile.","Sublocade is a complex long-acting injectable product with a non-biodegradable polymer delivery system.
- Standard in vitro or waiver-based approaches would not suffice to ensure therapeutic equivalence or safety.
- Improper equivalence evaluation could risk treatment failure, overdose, or diversion.
- FDA precedent supports requiring clinical data for complex depot formulations.",
FDA-2019-P-4003-0001_Citizen_Petition_from_Lisa_Myslinski____Redacted.pdf,"August 23, 2019",,"Lisa Myslinski, PharmD (Sole Proprietor of U.S. Patent No. 10,124,005 B1)",Not Mentioned (petition was submitted individually by the patent holder herself),"21 C.F.R. § 10.20
- 21 C.F.R. § 10.30
- 21 C.F.R. § 330.10(a)(4)(iv)
- 21 C.F.R. § 25.31 (Environmental Impact)",Amendment of the Tentative Final Monograph (TFM) for Acetaminophen and Caffeine (FR Citation 58 FR 28281) and inclusion of Meclizine (under Monograph 336.10(d)) into the final monograph system for OTC drugs,"FDA should amend the tentative final monograph of Acetaminophen and Caffeine to include Meclizine 6.25 mg based on her patented multi-symptom migraine formula combining Acetaminophen (250 mg), Caffeine (60 mg), and Meclizine (6.25 mg)","The patented combination treats both migraine pain and nausea.
- The combination is safe, with no known drug interactions (as supported by LexiComp and Facts & Comparisons).
- The request aligns with 21 C.F.R. § 330.10(a)(4)(iv), allowing combination of safe and effective OTC ingredients.
- Supported by personal experience as a pharmacist and migraine sufferer, as well as referenced studies on the efficacy of each component",
FDA-2019-P-2122-0001_Citizen_Petition_from_Handcrafted_Soap___Cosmetic_.pdf,"May 1, 2019",,Handcrafted Soap and Cosmetic Guild (HSCG),"Submitted by the Executive Director, Leigh O’Donnell. The petition is not submitted on behalf of another legal entity, but in representation of the membership and broader handcrafted soap and cosmetic industry","21 C.F.R. § 10.30 (citizen petition process)
- 21 C.F.R. § 701.12(d) (labeling regulations for cosmetics)
- 21 C.F.R. § 701.20(a) (exclusion of soap from the definition of cosmetics)
- 21 C.F.R. § 25.31 (categorical environmental exemption)
- 16 C.F.R. § 500.5 (FTC regulation on labeling)
- 21 U.S.C. § 321(i) (definition of cosmetics in the FDC Act)","FDA’s existing labeling requirement under 21 C.F.R. § 701.12(d), specifically the requirement for inclusion of the manufacturer’s street address unless listed in a telephone or city directory.","Amend 21 C.F.R. § 701.12(d) to allow omission of the street address if the business address is listed in any publicly available resource, including websites and electronic databases (mirroring FTC’s 16 C.F.R. § 500.5).
- Affirm that no enforcement action will be taken during the rulemaking process against manufacturers whose address is not on the label but is available via modern, acceptable online sources","Existing rules are outdated (originating from 1968), relying on obsolete resources like city directories and landline phone books.
- Many HSCG members are home-based businesses and face privacy, safety, and security risks when required to display a home address on labels.
- The FTC has already updated its regulations to allow flexibility in listing business addresses using modern information tools.
- Harmonizing FDA and FTC rules would reduce regulatory confusion, improve compliance, and protect small business owners, while maintaining consumer and regulatory access to business contact info",
FDA-2019-P-4879-0001_Citizen_Petition_from__Lachman_Consultant_Services.pdf,"October 18, 2019",,"Lachman Consultant Services, Inc.",Lachman Consultants is not representing another company but is submitting the petition in its own name.,"21 C.F.R. § 10.25(a)
- 21 C.F.R. § 10.30 (Citizen Petition rule)
- 21 C.F.R. § 25.31(a) (categorical exclusion from environmental assessment)
- Mention of FD&C Act (specific sections not cited)","The petition comments on the designation of the Reference Standard (RS) for Nitrofurantoin Oral Suspension 25 mg/5 mL, currently listed as Furadantin® held by Casper Pharma LLC, and its lack of availability in the market",Lachman Consultants requests that the FDA designate the product marketed by Nostrum Laboratories Inc. under ANDA 201355 as the new Reference Standard for Nitrofurantoin Oral Suspension 25 mg/5 mL,"The currently designated RS, Furadantin® (NDA 009175), is not available or in extremely limited distribution, making it impractical for ANDA applicants to obtain it for bioequivalence testing.
- Nostrum Laboratories’ product is understood to be the only version currently available in the U.S. market.
- Designating this product as the RS would facilitate ANDA submissions and availability of generic equivalents",
FDA-2019-P-4540-0001_Citizen_Petition_from_Foley___Lardner_LLP.pdf,"September 27, 2019",,Foley & Lardner LLP,Foley & Lardner LLP is submitting the petition on its own behalf. No representation of another entity is explicitly mentioned.,"Section 505(j)(2)(C) of the Federal Food, Drug, and Cosmetic Act

21 CFR § 314.93

21 CFR § 320.22(b)(1) (requesting a waiver of in vivo bioavailability)

21 CFR § 25.31 (categorical exclusion from environmental assessment)","Approval policy and process for ANDA (Abbreviated New Drug Application) submissions, specifically regarding changes in vial size for a reference listed drug (RLD).","Approval to submit and file an ANDA for Succinylcholine Chloride Injection USP, 20mg/mL, 5 mL vials. The reference listed drug (RLD) is Quelicin® by Hospira, Inc., currently only available in 10 mL vials.","The proposed product is qualitatively and quantitatively the same as the RLD except for the vial size.

The change in vial size (from 10 mL to 5 mL) is a type explicitly permitted under applicable FDA statutes and regulations.

The 5 mL vial (100 mg total) still meets most clinical dosage needs, reducing drug waste.

This change has been requested by numerous healthcare professionals and would offer greater flexibility and efficiency in hospital settings.

The petitioner also highlights the availability of draft labeling and a request for a waiver of in vivo bioavailability studies.

Categorical exclusion from environmental impact assessment is claimed, and economic benefits (reducing drug waste) are emphasized",
FDA-2019-P-2869-0001_Citizen_Petition_from_Valisure__LLC.pdf,"June 13, 2019",,"Valisure, LLC and ValisureRX LLC (collectively, ""Valisure"")","No external representation noted; submitted directly by Valisure executives (David Light, CEO and Kaury Kucera, CSO)","21 U.S.C. §§ 331, 351, 352, 355, 372, 374, 375
- 21 C.F.R. §§ 10.20 and 10.30
- 21 C.F.R. § 25.31","Lack of update to the acceptable intake level of DMF in light of its 2018 reclassification as a Group 2A probable carcinogen by WHO and IARC.

Existing FDA guidance (e.g., Q3C – Tables and List, Guidance for Industry) that lists DMF’s permitted daily exposure at 8.8 million nanograms.

Inadequate regulatory enforcement concerning the testing of pharmaceuticals for contaminants like DMF","Valisure requested the FDA to:

Lower the permitted daily exposure limit of DMF to under 1,000 nanograms (potentially as low as 96 ng).

Request recalls for valsartan lots contaminated with high levels of DMF.

Investigate manufacturing processes and submissions related to contaminated lots.

Inform the public about affected products.

Promulgate regulations requiring independent batch-level chemical testing.

Issue interim guidance encouraging such testing pending formal regulations","The petition presents the following justifications:

Detection of high DMF levels (up to 82,285 ng/tablet) in multiple valsartan lots.

DMF’s reclassification by WHO/IARC as a probable human carcinogen (Group 2A).

Potential role of DMF in formation of nitrosamines (e.g., NDMA, NDEA) which are also carcinogenic and have triggered prior drug recalls.

Discrepancy in safety thresholds—DMF’s allowed limit (8.8 million ng) vastly exceeds the stricter limits for nitrosamines (96 ng for NDMA).

Public health concerns and the need for greater regulatory oversight and transparency",
FDA-2019-P-2088-0001_Citizen_Petition_from_Summit_Health_Pharmacy_Inc.pdf,"March 29, 2019",,"Summit Health Pharmacy Inc. (Signed by Vincent Canzanese, RPh)",Not Mentioned – The petition appears to be submitted directly by the pharmacy without legal or third-party representation.,"21 C.F.R. § 10.30 (petition procedure)
- 21 C.F.R. § 216.23 (bulk drug substances under 503A)
- Section 503A of FD&C Act (21 U.S.C. § 353a)
- 21 C.F.R. § 25.30 (categorical environmental exclusion)","The FDA’s exclusion of oxitriptan from the list of approved bulk drug substances under section 503A, finalized in a rule effective March 20, 2019. The FDA evaluated oxitriptan only for depression and insomnia, not for treatment of tetrahydrobiopterin deficiency, which is the petition's focus","Amend 21 C.F.R. § 216.23 to add oxitriptan (5-HTP) to the 503A Bulks List.
- Allow continued compounding of oxitriptan for treatment of tetrahydrobiopterin deficiency in the interim","Long history of use of oxitriptan to treat DHPR and PTPS deficiencies, both linked to tetrahydrobiopterin deficiency.
- FDA failed to evaluate oxitriptan for these specific indications.
- Clinical case histories of 5 pediatric patients (pp. 2–4) support safety and efficacy.
- Cited literature supports its role in neurotransmitter replenishment and treatment of biopterin metabolism disorders.
- No alternative treatment exists for some patients, making oxitriptan medically necessary",
FDA-2019-P-1009-0001_Citizen_Petition_from_Rossman_Law_Group__PLLC_on_b.pdf,"February 28, 2019",,"Jeff and Janet Connell, by and through their legal representative","ROSSMAN LAW GROUP, PLLC, represented by Eric S. Rossman on behalf of Jeff and Janet Connell","21 U.S.C. § 1601 et seq. (Biomaterials Access Assurance Act)
- 21 U.S.C. § 1604(b)(3) (petition provision)
- 21 U.S.C. § 360, § 360(i) (device registration and listing)
- 21 U.S.C. § 321(h) (definition of “device”)
- 21 C.F.R. § 807.65(a) (registration exemption)
- 21 C.F.R. § 807.20 (registration requirement)
- 21 C.F.R. § 807.40 (foreign establishment registration)
- 21 C.F.R. § 25.30 (environmental impact exclusion)",The assertion by Lima Corporate S.P.A. that it is exempt from FDA registration under the Biomaterials Access Assurance Act and related device registration requirements. Petitioners challenge whether Lima was properly exempted from registering or listing the device under 21 U.S.C. § 360,"A determination by the Commissioner (under 21 U.S.C. § 1604(b)(3)) as to whether Lima Corporate S.P.A. was required to:
- Register under 21 U.S.C. § 360, and/or
- List the Lima Modular Hip System under 21 U.S.C. § 360(i)","Lima Corporate S.P.A. manufactured the Lima Modular Hip System and sold it to Encore Medical, L.P., which distributed it in the U.S. via DJO Global, Inc.
- The device received 510(k) clearance (K092331) in March 2010.
- The hip system was implanted in Jeffrey Connell in April 2011, and failed in 2014 causing injury.
- Lima claimed exemption under the Biomaterials Access Assurance Act, asserting it was only a ""biomaterials supplier"".
- Petitioners argue Lima was involved in manufacturing a finished device, imported into the U.S., thus requiring registration and listing under FDA regulations.
- Petitioners seek a ruling to resolve this regulatory status challenge and support litigation",
FDA-2019-P-1236-0001_Citizen_Petition_from_Sarfaraz_K__Niazi.pdf,"March 9, 2019",,"Sarfaraz K. Niazi, Ph.D., SI, FRSB, FPAMS, FACB
Adjunct Professor of Biopharmaceutical Sciences, University of Illinois & University of Houston","Not Mentioned – The petitioner filed in his own name, not on behalf of another organization or represented by a law firm.","Biologics Price Competition and Innovation Act (BPCIA)
- Public Health Service Act § 351(a), § 351(k)
- 21 CFR § 10.30 (Petition procedure)
- 21 CFR § 25.30–25.42 (Environmental impact)
- 42 USC § 262(k)(2)(A)(ii) (FDA discretion on biosimilar approval requirements)","The petitioner comments on:
- FDA's guidance on “Nonproprietary Naming of Biological Products” (use of four-letter suffixes for biosimilars).
- FDA’s use of the phrase “no clinically meaningful differences” in defining biosimilars, which the petitioner believes is confusing and damaging to prescriber trust.","The petitioner requests the FDA to:
- Withdraw the guidance on suffix-based nonproprietary naming for biosimilars.
- Use brand names with NDCs instead for identification.
- Replace the definition of biosimilars from “no clinically meaningful differences” to “clinically similar.”
- Warn biosimilar sponsors against making superiority claims over other biosimilars.
- Warn originator companies from undermining FDA’s biosimilar standards.","The current suffix naming policy creates confusion and implies biosimilars are different, undermining prescriber and patient confidence.
- The phrase “no clinically meaningful difference” is a double-negative and causes ambiguity.
- Health Canada’s approach (using brand + common name with DIN) is cited as clearer.
- FDA’s shift in policy (removing suffixes from originator products) creates further inconsistency.
- Scientific evidence and regulatory discretion allow FDA to simplify requirements and improve biosimilar adoption, potentially saving over $50 billion annually.",
FDA-2019-P-2142-0002_Citizen_Petition_from_Archer_Daniels_Midland_Compa.pdf,"May 2, 2019",,Archer Daniels Midland Company (ADM),"Not Mentioned – The petition is submitted directly by ADM, signed by Dr. Brent D. Flickinger, Vice President, Product Quality, Regulatory and Scientific Affairs.","21 CFR § 10.30 (Citizen petition procedure)
- 21 CFR § 10.20 (Document submission requirements)
- 21 CFR § 101.9 (Nutrition labeling)
- 21 CFR § 184.1444 (Maltodextrin GRAS status)
- 21 CFR § 25.22 and § 25.30(k) (Environmental impact exemption)","The default assignment of 2 calories per gram for soluble non-digestible carbohydrates used in dietary fiber labeling under 21 CFR § 101.9, and FDA’s current labeling practice for soluble fibers",Amend 21 CFR § 101.9 to assign an energy value of 0.7 calories per gram to the dietary fiber component of Fibersol® resistant maltodextrin for use in Nutrition and Supplement Facts labels,"Fibersol® meets the maltodextrin definition under 21 CFR § 184.1444 and is recognized as GRAS.
- Scientific evidence (see Attachment A) supports that 0.7 kcal/g is a more accurate reflection of its true energy value, based on human clinical studies.
- FDA has previously granted enforcement discretion to label resistant maltodextrin as dietary fiber
.
- Using the default 2 kcal/g overstates the caloric contribution of Fibersol®, misleading consumers and violating accurate labeling practices.",
FDA-2019-P-2370-0001_Citizen_Petition_from_ALEMBIC_PHARMACEUTICALS_LIMI.pdf,"May 15, 2019",,Alembic Pharmaceuticals Limited,"Not Mentioned – The petition is submitted directly by Alembic Pharmaceuticals, not via an external representative or law firm.","505(j)(7) of the Federal Food, Drug, and Cosmetic Act
- 21 CFR § 10.30 (Citizen petition procedures)
- 21 CFR § 10.25 (Administrative practices)
- 21 CFR § 314.122 (Petition to determine if drug was withdrawn for safety/effectiveness reasons)
- 21 CFR § 314.161 (Procedures for reviewing drug withdrawals)
- 21 CFR § 25.31(a) (Environmental impact categorical exclusion)","The discontinuation of PROAMTINE (Midodrine Hydrochloride) Tablets, NDA #019815, and whether that withdrawal was for safety or efficacy reasons. The petitioner challenges the lack of clarity and seeks a formal determination from FDA.","Alembic requests the FDA to issue a determination that PROAMTINE was not withdrawn for reasons of safety or effectiveness, thus allowing the submission of an Abbreviated New Drug Application (ANDA) referencing this Reference Listed Drug (RLD)","Under 505(j), an ANDA must reference a listed drug (RLD).
- When a drug is no longer marketed, FDA must determine whether it was withdrawn for safety or effectiveness reasons before allowing generic reference.
- Alembic intends to submit an ANDA referencing PROAMTINE and therefore requests this prerequisite determination to proceed",
FDA-2019-P-1678-0004_Withdrawal_from_Hyman__Phelps___McNamara__P_C__on_.pdf,"March 2, 2021",,"Exela Pharma Sciences, LLC (the original petitioner)","Hyman, Phelps & McNamara, P.C., represented by Kurt R. Karst","Not Mentioned in the withdrawal notice document itself. (The original petition might contain references, but this document does not cite any directly.)","The petition originally requested FDA to assign a Therapeutic Equivalence Evaluation Code for GLYRX-PF (glycopyrrolate injection), approved under NDA 210997","The petitioner has withdrawn the original Citizen Petition submitted on April 5, 2019",Not Mentioned – No explanation is provided in the withdrawal notice for the withdrawal of the petition.,
FDA-2019-P-5403-0008_Request_to_withdraw_Citizen_petition_from_Seth_Mai.pdf,"January 13, 2021",,Not Explicitly Stated in this withdrawal notice; the petitioner is represented by Husch Blackwell LLP. The original petition would contain the name of the client being represented.,"Husch Blackwell LLP, represented by Seth A. Mailhot, Partner, filed the withdrawal on behalf of the petitioner",21 C.F.R. § 10.30(g) (pertains to the withdrawal of a citizen petition),"The original petition requested that the FDA designate ANDA No. 065049 as a Reference Standard drug in the Approved Drug Products with Therapeutic Equivalence Evaluations (i.e., the Orange Book)","The petitioner now requests withdrawal of the citizen petition submitted under Docket No. FDA-2019-P-5403, without prejudice",Not Mentioned – The withdrawal letter does not provide reasons for withdrawing the petition,
FDA-2019-P-0538-0001_Citizen_Petition_from__K_L_Gates_LLP_on_behalf_of_.pdf,"February 1, 2019",,"K&L Gates LLP (Attorney Michael J. Freno, on behalf of Genus Lifesciences, Inc.)","Yes, K&L Gates LLP is representing Genus Lifesciences, Inc.","505(q) of the FDCA
- 21 C.F.R. §§ 10.20, 10.30, 10.31, 314.150(a)(2)(iv), 314.3, 314.101(e)
- 21 U.S.C. § 355(b)(2), § 355(c)(3)(E)(ii), § 355(j)(5)(F)(ii)","The petition addresses the FDA’s acceptance of submissions or resubmissions by Lannett Company, Inc. for a 505(b)(2) application related to a cocaine drug product, potentially in violation of Genus’s NCE exclusivity rights. ","Refuse to accept any further submissions by Lannett for its 505(b)(2) application for a cocaine product.
- Treat any such submissions as withdrawn.
- Consider the application withdrawn in its entirety.","Genus’s NDA 209963 for Goprelto® (cocaine hydrochloride) was approved with 5-year New Chemical Entity (NCE) exclusivity on December 14, 2017.
- Under 21 U.S.C. § 355(c)(3)(E)(ii), no other application for the same active ingredient may be submitted for 5 years.
- Lannett received a Complete Response Letter and is expected to resubmit its application, which the petitioner claims would be a prohibited submission.
- FDA acceptance of such submissions would violate statutory exclusivity, Congressional intent, and FDA’s own definitions and rules.
- Acceptance would harm innovation incentives and contradict precedent. ",
FDA-2019-P-1636-0001_Citizen_Petition_from_Nexsen_Pruet__LLC.pdf,"April 4, 2019",,"Nexsen Pruet, LLC, submitted by John A. Sowards","Yes – Nexsen Pruet, LLC is acting on behalf of an unidentified client; the petition does not explicitly name the represented pharmaceutical company.","505(j) of the FDCA
- 21 C.F.R. § 10.20
- 21 C.F.R. § 10.30 (Citizen Petition Procedures)
- 21 C.F.R. § 314.94(a)(3) (Reference Listed Drug definition)
- 21 C.F.R. § 10.25(a) (Citizen petition scope)
- 21 C.F.R. § 25.31 (Environmental assessment exclusion)","The petition comments on the lack of Reference Listed Drug (RLD) designation for Neostigmine Methylsulfate Injection, 3 mg/3 mL (1 mg/mL), NDA No. 203629, which prevents ANDA applicants from referencing it in generic submissions.",Request for the FDA to designate NDA 203629 (Neostigmine Methylsulfate Injection) as the Reference Listed Drug (RLD) to support future generic drug (ANDA) submissions,"NDA 203629 (approved for 3 mg/3 mL fill volume) is the most suitable and equivalent formulation listed in the Orange Book.
- Without RLD designation, generic companies are unable to file ANDAs referencing this product.
- FDA regulations require a designated RLD for demonstrating bioequivalence in ANDAs.
- The petition includes supporting documentation (Orange Book excerpt, FDA listing, labeling) to substantiate the request",
FDA-2019-P-1198-0001_Citizen_Petition_from_KIND_LLC.pdf,"March 12, 2019",,KIND LLC,"No external representation; petition submitted directly by Justin Mervis, Executive Vice President & General Counsel of KIND LLC","21 C.F.R. § 101.13 (g) and (h)
- 21 C.F.R. § 104.20
- 21 C.F.R. § 101.54(e)
- 21 C.F.R. § 101.65(d)
- 21 C.F.R. § 25.30(k)
- 21 U.S.C. § 343(r)
- 7 U.S.C. § 5341(a)(1)
- 5 U.S.C. § 553€",Existing regulatory framework governing nutrient content claims on food labeling (specifically under 21 C.F.R. § 101.13 and related sections) and the FDA’s failure to update these regulations in line with current nutritional science.,"Revise 21 C.F.R. § 101.13(g) and (h) to:
• Limit nutrient content claims to foods containing meaningful amounts of health-promoting ingredients (e.g., fruits, whole grains).
• Include new disclosure levels for added sugar and trans fat, and remove thresholds for total fat and cholesterol.
• Disqualify foods from bearing claims if they exceed daily values of saturated fat, sodium, added sugars, or trans fat.
• Require nutrient fortification to comply with FDA’s fortification policy (21 C.F.R. § 104.20).","The current regulations are outdated and based on 1990s dietary guidance, focusing narrowly on specific nutrients without considering overall food quality.
- Consumer and FDA-supported research shows that current nutrient claims can mislead consumers into perceiving unhealthy foods as healthy.
- Regulatory updates are necessary to align with the 2015-2020 Dietary Guidelines for Americans and FDA’s 2018 Strategic Policy Roadmap, which emphasize healthy eating patterns over isolated nutrients.
- The changes aim to help reduce preventable diet-related diseases by ensuring claims are accurate, science-based, and aligned with modern nutrition policy.",
FDA-2019-P-1364-0005_Withdrawal_from_Public_Citizen.pdf,"April 4, 2019",,"Public Citizen’s Health Research Group, represented by Sidney Wolfe, M.D. and Raeford E. Brown, Jr., M.D., FAAP",Not applicable – The petition was filed directly by individuals affiliated with Public Citizen; no external representation such as a law firm is indicated.,"Section 505(q) of the Food, Drug, and Cosmetic Act",A petition requesting a moratorium on new opioid approvals by the FDA,"Withdrawal of the original petition, with a note that a revised petition including the required 505(q) certification statement will be submitted",The original petition lacked the certification required under section 505(q). The authors intend to refile the petition with the appropriate certification included,
FDA-2019-P-1318-0001_Citizen_Petition_from_Lachman_Consultants.pdf,"March 19, 2019",,"Lachman Consultants (Signed by Sharif Ahmed, MS, RAC, Principal Consultant)",Yes – Lachman Consultants submitted the petition on behalf of a client; the specific company or individual is not disclosed in the document,"Section 505(j)(2)(C) of the FD&C Act
- 21 C.F.R. §§ 10.20, 10.30 (Petition procedures)
- 21 C.F.R. § 25.31(a) (Environmental assessment exemption)
- 21 C.F.R. § 10.30(b) (Economic impact disclosure)
- FD&C Act § 505B (Pediatric Research Equity Act)",The FDA’s authority to determine whether a proposed drug product that differs in strength from a listed drug (Abraxane® 100 mg/vial) can be filed through an Abbreviated New Drug Application (ANDA).,"Request FDA to determine that Paclitaxel for Injectable Suspension, 200 mg/vial lyophilized powder, is suitable for submission in an ANDA, based on the reference listed drug (RLD) Abraxane® 100 mg/vial"," The proposed drug is identical in active ingredient, dosage form, route of administration, and labeling, differing only in strength (i.e., total drug content).
- Average adult dosing often requires multiple vials of the 100 mg product; a 200 mg/vial format would be more convenient and may reduce medication errors.
- The product maintains the same concentration upon reconstitution (40 mL for 200 mg), presenting no new safety or efficacy concerns.
- The Pediatric Research Equity Act (PREA) does not apply to strength-only changes.
- No changes to labeling except for the updated strength information",
