File Name,Date of Response,Date Comments,Responding FDA Center,Response to Petition,Cited Statutes or Regulations,Justification for Response,Review Comments
FDA-2010-P-0176-0076_FDA_Office_for_Policy_to_the_Division_of_Dockets_M,"September 26, 2011",,"Office of the Commissioner (with support from CDRH)
Memo is from Leslie Kux, Acting Assistant Commissioner for Policy; it designates Nancy J. Pluhowski of CDRH to support the Commissioner during advisory committee proceedings","Administrative Assignment – Not a Petition Decision
This memorandum is not a formal decision on a petition, but an internal administrative assignment of personnel for managing advisory committee proceedings related to PMA P080009 (SEDASYS)","Section 515(g)(2) of the Federal Food, Drug, and Cosmetic Act – Governs Commissioner and Advisory Committee reviews in PMA proceedings","The agency elected to maintain separation of functions during the review process for PMA P080009 (SEDASYS System).
- Nancy J. Pluhowski of CDRH was designated to assist the Office of the Commissioner in connection with the Advisory Committee and Commissioner’s review.
- The action reflects FDA’s policy to avoid conflicts or bias in regulatory decision-making by maintaining appropriate separation between policy, scientific, and legal review functions",
FDA-2010-P-0176-0075_FDA_CDRH_Ombudsman_to_Ethicon_Endo_Surgery__Inc___,"September 13, 2011",,"Center for Devices and Radiological Health (CDRH)
Communicated by the FDA Ombudsman on behalf of the Commissioner's Team","Procedural Response – Summary of Scientific Issues Issued
This letter did not resolve the petition itself but issued the finalized Summary of Scientific Issues governing the upcoming Advisory Committee review of CDRH's PMA denial for the SEDASYS system. No final decision on the petition was rendered at this stage","Section 515(g)(2) of the Federal Food, Drug, and Cosmetic Act – Governs advisory committee reviews of PMA decisions","The document provides a scientific dispute summary to guide the Advisory Committee's evaluation of CDRH’s denial of the SEDASYS PMA.
- Two main clinical issues were identified:
1. Safety of sedation: CDRH cited a “serious safety signal” due to increased incidence of deeper-than-intended sedation in the SEDASYS group (including general anesthesia in 5 patients), versus the control group (1 patient).
2. Appropriateness of control arm: CDRH challenged the trial design, arguing it should have compared SEDASYS-assisted propofol administration by gastroenterologists to propofol given by anesthesia-trained personnel, not to benzodiazepine/opioid sedation.
- CDRH also questioned the adequacy of the proposed training program, stating it was not validated by outcome-based clinical studies.
- In contrast, Ethicon Endo-Surgery (EES) argued:
• No patients experienced apnea or oxygen desaturation
• Safety features of the device mitigated risks
• Trial design reflected real-world “standard of care” practices
• Their proposed training protocol was supported by study outcomes
- The summary posed six questions for the Advisory Committee related to safety, control arm design, and training adequacy",
FDA-2010-P-0176-0072_FDA_CDRH_Ombudsman_to_Ethicon_Endo_Surgery__Inc___,"September 9, 2011",,Center for Devices and Radiological Health (CDRH),"Procedural Response – Issuance of Schedule and Agenda
This letter is not a decision on the petition, but the final issuance of the Schedule of Events and Agenda for the upcoming Advisory Committee review of CDRH’s denial of the PMA for the SEDASYS system","Section 515(g)(2) of the Federal Food, Drug, and Cosmetic Act – Governs advisory committee reviews of PMA denials"," The response reflects FDA’s procedural step in preparing for a formal Advisory Committee meeting to evaluate the scientific and clinical basis for denying PMA P080009 (SEDASYS).
- It includes a detailed Schedule of Events (pages 2–3) outlining submission deadlines, meeting logistics, timelines for Advisory Committee report drafting and response opportunities for the parties.
- The Agenda (page 4) specifies a full-day session (8:00 a.m.–6:00 p.m.) on December 14, 2011, for public hearings, presentations by EES and CDRH, rebuttals, discussions, and a committee vote.
- The process underscores transparency, fairness, and structured scientific deliberation in the PMA review process.",
FDA-2010-P-0176-0065_FDA_Office_for_Policy_to_the_Division_of_Dockets_M,"September 1, 2011",,"Office of the Commissioner, with designated support from CDRH (Center for Devices and Radiological Health)","Administrative Action – Staff Assignment
This document is not a decision on the petition, but a procedural designation assigning named CDRH employees to support the Commissioner in connection with the Advisory Committee review of PMA P080009.","Section 515(g)(2) of the Federal Food, Drug, and Cosmetic Act – Governs advisory committee and Commissioner reviews of PMA decisions","The FDA issued this memorandum to formalize the assignment of CDRH employees to assist the Office of the Commissioner during the Advisory Committee and Commissioner’s review of the SEDASYS PMA (P080009).
- The document explicitly states that “The agency has elected to adhere to separation of functions as a matter of policy in this matter.” This means that those involved in the original decision will be separate from those supporting the Commissioner’s independent review",
FDA-2010-P-0176-0064_FDA_CDRH_Response_to_the_Summary_of_Scientific_Iss,"Stamped September 2, 2011",,Center for Devices and Radiological Health (CDRH),"Procedural Input – Not a Final Petition Decision
This letter constitutes a formal response to procedural and content issues related to the Summary of Scientific Issues, questions to the advisory panel, and schedule of events for the upcoming Advisory Committee meeting. It does not decide the citizen petition or PMA itself.","Section 515(g)(2) of the Federal Food, Drug, and Cosmetic Act – Reference to the type of Advisory Committee review being conducted (mentioned in context, not formally cited)","Panel Question Design: CDRH objects to limiting questions to yes/no format and insists panel members should be asked to explain their reasoning individually.
- Panel Question Order: CDRH recommends that questions on risks and benefits of the SEDASYS System be asked last, after thorough discussion of detailed preceding questions.
- EES Proposals Rejected:
• CDRH opposes EES’s proposed changes to question wording, stating they assume inappropriate user competence and would present data in a biased way.
• CDRH maintains references to propofol are essential, as the safety concerns stem from its use.
• Objections by EES to a 24-hour meeting summary are rejected—FDA sees it as valuable for transparency.
• FDA rejects extended rebuttal time requested by EES, citing concerns about fostering an adversarial environment.
- Overall, CDRH stresses the need for a balanced, scientifically rigorous, and procedurally fair process for both parties and the Commissioner’s Office",
FDA-2010-P-0176-0063_FDA_Office_for_Policy_and_Goodwin_Proctor_LLP_to_L,"August 29, 2011",,Center for Devices and Radiological Health (CDRH),"Scheduling Request – Not a Petition Decision
This document is a request for a telephone conference to discuss the submission date for the Advisory Committee Panel Package. It is not a decision or interim response on the citizen petition.",Not Mentioned,"The letter notes that Dr. David Buckles is unavailable that week.
- Nancy K. Stade and Mark A. Heller (from Goodwin Procter LLP) request a short phone meeting before August 30 at 10am to finalize a submission timeline for the Advisory Committee materials",
FDA-2010-P-0176-0062_FDA_CDRH_letter_to_Mr__Buckley_dated_8_26_2011,"August 26, 2011",,"Center for Devices and Radiological Health (CDRH)
","Collaborative Procedural Input – Not a Decision
The letter outlines points of agreement between CDRH and Ethicon Endo-Surgery (EES) regarding proposed questions and scheduling for the upcoming Advisory Committee meeting under Section 515(g)(2). It does not represent a final decision on the PMA or the citizen petition","Section 515(g)(2) of the Federal Food, Drug, and Cosmetic Act – Referenced as the statutory basis for the advisory committee proceeding","Consensus on Panel Questions: CDRH and EES jointly recommend removing two of the proposed questions (Nos. 4 and 6) from the Advisory Committee agenda because they either asked for input on study designs (not within the panel’s purview) or duplicated the scope of another question.
- Question Rewording: They recommend rephrasing Question 5 to more clearly assess the adequacy of training protocols in light of adverse events observed in the pivotal trial (e.g., deeper-than-intended sedation).
- Schedule Adjustments: Both parties agree to a revised submission and event schedule that includes delays to accommodate holiday impacts, and request clarification on potential legal issues raised in the schedule template.
- Enclosure Provided: A detailed multi-page “Schedule of Events” is enclosed, outlining key submission and response deadlines leading up to and following the Advisory Committee meeting scheduled for December 14, 2011",
FDA-2010-P-0176-0061_FDA_CDRH_List_of_Attendees__Docket_No__FDA_2010_P_,"August 23, 2011",,Center for Devices and Radiological Health (CDRH),"Administrative Update – Not a Petition Decision
This letter serves as an update to the personnel list for the upcoming Advisory Committee meeting related to the SEDASYS system. It is not a decision or procedural response to the petition itself.","Section 515(g)(2) of the Federal Food, Drug, and Cosmetic Act – Cited as the basis for the Advisory Committee Meeting","The initial list of attendees submitted on August 19, 2011, was incomplete.
- This updated list includes additional CDRH personnel across departments such as:
• Office of Device Evaluation
• Office of Surveillance and Biometrics
• Office of Chief Counsel
• Division of Anesthesiology, General Hospital, Infection Control, and Dental Devices
- Notably includes high-level policy and scientific personnel such as Nancy K. Stade (Deputy Director for Policy) and William Maisel (CDRH Chief Scientist).
- The letter also states that additional experts in anesthesiology and intensive care medicine may be added, and a further update will be provided upon confirmation",
FDA-2010-P-0176-0060_FDA_CDRH_List_of_Attendees__Docket_No__FDA_2010_P_,"August 19, 2011",,Center for Devices and Radiological Health (CDRH),"Administrative Update – Not a Petition Decision
This letter provides a list of FDA/CDRH attendees scheduled to participate in the December 14, 2011 Advisory Committee Meeting under Section 515(g)(2). It is not a decision on the petition itself.","Section 515(g)(2) of the Federal Food, Drug, and Cosmetic Act – Cited as the legal basis for the Advisory Committee review"," This update is issued “in accordance with the published Schedule of Events” to notify stakeholders of CDRH’s internal delegation to the advisory meeting.
- The listed attendees include senior scientific, legal, and regulatory staff such as:
• Nancy K. Stade (Policy)
• William Maisel (Science and CDRH Chief Scientist)
• Christy Foreman (Office of Device Evaluation)
• Anthony Watson, Lex Schultheis (Anesthesiology & Respiratory Devices)
• Ann Wion, Joy Dawson, Gayatri Rao (Office of Chief Counsel)
• Surveillance and Biometrics team members (e.g., Richard Kotz, Martin Ho)
- CDRH also indicated plans to involve additional clinical experts in anesthesiology and intensive care medicine and stated it would submit an updated participant list upon confirmation",
FDA-2010-P-0176-0059_FDA_CDRH_Ombudsman_to_Ethicon_Endo_Surgery__Inc___,"August 15, 2011",,Center for Devices and Radiological Health (CDRH),"Finalization of Scientific Summary – Not a Decision on Petition
This letter transmits the finalized “Summary of the Scientific Issues in Dispute” for the upcoming Advisory Committee Meeting under Section 515(g)(2). It does not represent a final decision on the PMA or petition outcome, but serves to frame deliberations and ensure neutrality in the presentation of issues","Section 515(g)(2)(A) of the Federal Food, Drug, and Cosmetic Act – Governing the Advisory Committee’s authority and procedure","The Summary incorporates feedback from both CDRH and EES submissions (dated June 2, July 11, July 21, 2011).
- Key principles used in finalizing the Summary include:
• Neutral presentation of information
• Inclusion of useful factual background
• Structuring committee questions for clarity (yes/no format)
• Focus on scientific/clinical rather than regulatory issues
• Ensuring questions address the specific bases for the CDRH denial of the PMA

- CDRH's denial was based on two main concerns:
1. Safety concerns – SEDASYS showed an increased incidence of deeper-than-intended sedation (including general anesthesia), which CDRH deemed a ""serious safety signal."" EES argued those incidents were not clinically significant as no apnea or desaturation occurred, and the system includes safety controls
.
2. Study design limitations – CDRH found the control arm in the pivotal study inappropriate and objected to EES’s proposed training program due to lack of validation in an outcome-based study. EES defended both the comparator and the training based on investigator experience in the pivotal trial
.
- The summary includes six specific questions to guide the Advisory Committee’s discussion on safety, comparator appropriateness, and training mitigation",
FDA-2010-P-0176-0058_FDA_CDRH_and_Ethicon_Endo_Surgery__Inc____Goodwin_,"Written and Stamped August 10, 2011",,Center for Devices and Radiological Health (CDRH),"Preliminary Procedural Coordination – Not a Decision
This letter documents a joint agreement between CDRH and EES to meet and attempt to finalize the issues for consideration by the Advisory Panel. It does not contain a decision regarding the PMA or petition.","Section 515(g)(2) of the Federal Food, Drug, and Cosmetic Act – Implicitly referenced in context as the statutory basis for the Advisory Committee meeting. Not directly quoted or cited in full.","Both parties submitted comments on the FDA Ombudsman’s June 2, 2011 draft “Summary of the Scientific Issues in Dispute.”
- There remain unresolved disagreements regarding what issues should be posed to the Advisory Committee.
- The parties believe that a meeting to discuss and narrow these issues will enhance the clarity and fairness of the panel briefing materials.
- They commit to providing a joint update to the Ombudsman after the meeting, including a list of agreed-upon issues and those still in dispute",
FDA-2010-P-0176-0057_FDA_CDRH_Ombudsman_to_Ethicon_Endo_Surgery__Inc___,,"unknown date for letter, attached agenda is for December 14, 2011",Center for Devices and Radiological Health (CDRH),"Scheduling Notice – Not a Decision on Petition
This document transmits the revised Schedule of Events and the agenda for the December 14, 2011 Advisory Committee meeting reviewing CDRH’s denial of the SEDASYS PMA. It does not represent an approval, denial, or partial decision on the petition itself.","Section 515(g)(2) of the Federal Food, Drug, and Cosmetic Act – cited as the statutory basis for convening the Advisory Committee","The FDA granted EES’s request for review of CDRH’s denial of PMA P080009 for the SEDASYS system under Section 515(g)(2).
- To facilitate a fair and organized review, the letter provides a detailed multi-stage timeline and procedural requirements for both FDA and the sponsor.
- Key milestones include:
• Submission of attendees (by August 19, 2011)
• Draft and final Advisory Committee Panel Packages (Panel Packs)
• Slide submissions
• Meeting summary drafts and final report from Advisory Committee Chair
• Post-meeting actions, including exception filings and a final FDA order
.
- The agenda on page 4 outlines the full-day structure of the December 14, 2011 meeting, including public hearings, sponsor and FDA presentations, and Advisory Committee deliberations and vote",
FDA-2010-P-0176-0056_FDA_CDRH_Ombudsman_to_Dockets_Management_re_Separa,"August 8, 2011",,Center for Devices and Radiological Health (CDRH),"Procedural Assignment – Not a Petition Decision
This is an internal memorandum assigning named CDRH staff to assist the Office of the Commissioner in preparation for an Advisory Committee and Commissioner-level review of PMA denial. It is not an approval, denial, or modification of the petition.","Section 515(g)(2) of the Federal Food, Drug, and Cosmetic Act – Basis for the Commissioner’s review of the PMA denial","To maintain procedural fairness, the FDA elects to adhere to separation of functions as a matter of policy.
- This means staff involved in the original PMA decision will not participate in the Commissioner’s review.
- The memorandum lists the CDRH employees designated to support the Office of the Commissioner, including Tonja J. Adams, Frances Adogu, Margaret J. Ames, James Clark, Sandra Oquendo, Keyonna Queen, and Ann Marie Williams",
FDA-2010-P-0176-0054_FDA_CDRH_Ombudsman_to_Ethicon_Endo_Surgery__Inc___,,no date,Center for Devices and Radiological Health (CDRH),"Procedural Guidance – Not a Decision
This letter outlines the schedule of events and meeting agenda for the Advisory Committee convened under Section 515(g)(2) to review CDRH’s denial of the SEDASYS PMA. It does not include a final decision on the petition.","Section 515(g)(2) of the Federal Food, Drug, and Cosmetic Act – cited as the statutory basis under which the Advisory Committee was convened to review the PMA denial","The FDA previously granted Ethicon Endo-Surgery’s request for review under Section 515(g)(2) of CDRH’s denial of the Pre-Market Approval (PMA) for the SEDASYS System.
- This document includes a comprehensive timeline (pages 2–3) outlining the deadlines for submissions by the sponsor and CDRH, the structure of the panel review process, and the flow of communications between the involved parties.
- It also contains the detailed agenda (page 4) for the Advisory Committee meeting, including presentations, rebuttals, public hearing segments, and final deliberations and vote",
FDA-2010-P-0176-0044_CDRH_Statement_of_issues_response,,no date,Center for Devices and Radiological Health (CDRH),"Ongoing Review / Response with Attached Summary – This is a procedural and scientific position statement, not a final decision (thus considered a pre-decision communication)."," 21 C.F.R. § 14.82: Procedures for nominating voting members of the advisory panel.
- 18 U.S.C. § 208 and 21 U.S.C. § 379d-1(c)(2): Conflict of interest and disqualification of individuals from participation","The panel process must follow official procedures including Federal Register nominations.
- CDRH expressed concern over conflict of interest, reinforcing disqualification rules for economic interests.
- The CDRH denied EES’ proposal to allow gastroenterologists to be added as voting members directly without Federal Register notice.
- It also disputed the safety of the SEDASYS system, highlighting increased incidence of unintended deep sedation/general anesthesia, with episodes of general anesthesia observed in 5 SEDASYS patients vs. 1 control patient.
- The pivotal study was deemed inadequate to demonstrate safety, and CDRH questioned the effectiveness of proposed training and mitigation measures",
FDA-2010-P-0176-0043_FDA_Office_for_Policy_to_the_Division_of_Dockets_M,"Stamped July 1 and July 6, 2011",,Center for Devices and Radiological Health (CDRH),Procedural and Scientific Clarification – Not a Final Decision. This is a response addressing procedural concerns and presenting CDRH's revisions to the draft statement of issues for the advisory committee review.,"21 C.F.R. § 14.82: Nomination of advisory committee members
- 18 U.S.C. § 208: Conflict of interest statute
- 21 U.S.C. § 379d-1(c)(2): Conflict of interest disqualification in FDA advisory committees","CDRH objected to EES's direct nomination of gastroenterologists due to lack of Federal Register notice, as required under 21 C.F.R. § 14.82.
- Affirmed that panelist selection must follow standard FDA procedures and guidance on conflicts of interest.
- Clarified that economic conflicts of interest must be evaluated per law and guidance but that no heightened measures were necessary in this case.
- Rejected the proposal for an extended 1.5–2 day panel meeting, stating that a single day with one hour presentations per party is sufficient.
- Restated the scientific dispute: the adequacy of safety evidence for the SEDASYS system and whether untrained providers can safely operate it.
- Provided eight structured questions for the advisory panel to consider regarding safety, mitigation strategies, and overall benefit-risk profile",
FDA-2010-P-0176-0042_FDA_2010_P_0176_Response_to_June_3__2011_Letter,"Stamped June 22, 2011",,Center for Devices and Radiological Health (CDRH),Acknowledged input and suggestions but did not grant a meeting or make any final decision on the petition itself,"Section 515(g)(2) of the Federal Food, Drug, and Cosmetic Act","Advisory committee will include expertise from gastroenterology, anesthesiology, and statistics as suggested.
- Committee members will be selected from the existing pool of Special Government Employees with appropriate qualifications.
- Time allotment suggestions for the advisory hearing are being considered during schedule refinement.
- All advisory committee candidates will be screened for conflicts of interest.
- A specific CDRH contact (Nancy Stade) was provided for correspondence.
- No additional comment on ex parte communications; affirmed current regulatory interpretation.
- Meeting request denied; FDA deemed it unnecessary at the time.",
FDA-2010-P-0176-0038_FDA_CDRH_Ombudsman_to_Ethicon_Endo_Surgery__Inc___,"Stamped June 2, 2011",,Center for Devices and Radiological Health (CDRH),Acknowledged petition for review and framed the issues for advisory committee consideration. No final approval/denial decision was rendered in this document.,"Section 515(g)(2) and 515(g)(2)(A) of the Federal Food, Drug, and Cosmetic Act","The response includes a draft Statement of Issues to guide the Medical Devices Advisory Committee's discussion.
- FDA acknowledged granting Ethicon Endo-Surgery’s request for review of the CDRH’s denial of the Pre-Market Approval (PMA) application for the SEDASYS system.
- The purpose is to frame clinical and scientific issues (e.g., deeper-than-intended sedation, adequacy of control arm in trials, sufficiency of safety assurance, and training mitigation).
- Two principal disputed issues were outlined:
  1. Safety concerns due to unintended deep sedation episodes.
  2. Whether the clinical trial’s control arm was appropriate.
- A targeted training program was proposed by the petitioner, and the advisory committee was asked to assess its adequacy and validation needs",
FDA-2010-P-0176-0034_FDA_Office_for_Policy_to_Staff_Attorneys_re_Separa,"April 28, 2011",,Office of the Commissioner (Policy) in coordination with Center for Devices and Radiological Health (CDRH),Other – Administrative designation: CDRH employee Kathleen L. Walker was appointed to support the Office of the Commissioner in connection with the advisory committee and Commissioner’s review of the PMA denial. No decision was made on the petition itself,"Section 515(g)(2) of the Federal Food, Drug, and Cosmetic Act","The memorandum formalizes the agency’s adherence to separation of functions as a matter of policy.
- This step ensures procedural fairness during the advisory committee and Commissioner-level review of CDRH’s denial of PMA P080009.
- It explicitly designates a staff member to support the Commissioner independently of the petition review process",
FDA-2010-P-0176-0033_FDA_Office_for_Policy_to_Goodwin_Proctor_LLP__Apri,"April 28, 2011",,"Office of the Commissioner (OC), coordinated with CDRH",Other – The letter acknowledges receipt of correspondence and outlines procedures being considered. It reiterates the agency’s stance on no ex parte communication and states no meeting is deemed necessary at this stage. No final decision on the petition is made in this response.,21 CFR 10.3(a) – defines ex parte communication,"The letter was issued in response to EES’s April 7 and 25, 2011 letters regarding procedural aspects of their petition to review CDRH’s PMA denial.
- The Office of the Commissioner is evaluating matters such as advisory committee member selection, timing, briefing documents, and scope of review.
- Emphasizes adherence to separation of functions, and prohibits any ex parte communications beyond status requests.
- Clarifies that only written communications submitted to the docket or status update requests are allowed.
- States that no meeting is currently warranted on procedural issues",
FDA-2010-P-0176-0031_FDA_CDRH_Ombudsman_to_Dockets_Management_re_Teleco,"April 21, 2011",,Center for Devices and Radiological Health (CDRH) – Specifically from the CDRH Ombudsman,"Other – The document summarizes a teleconference held to discuss procedural matters related to the advisory panel review. It does not provide a formal decision on the petition (e.g., approval or denial).","21 CFR 14.35(c) – regarding submission of documents prior to a panel meeting
- Part 14 – referred to generally in the context of advisory panel procedures","This memorandum records the topics discussed during an April 20, 2011 teleconference between Goodwin Procter (on behalf of EES) and CDRH representatives.
- Topics included scheduling, panel member nomination timing, procedural expectations, concerns about summer scheduling conflicts, and the scope of ex parte communication restrictions.
- The agency clarified that the schedule for the advisory panel meeting was still in development, and reiterated that no off-process communications were occurring related to SEDASYS",
FDA-2010-P-0176-0029_FDA_Office_for_Policy_to_Staff_Attorneys_re_Separa,"February 17, 2011",,Office of the Commissioner (Policy) in collaboration with CDER and CDRH,Other – The memorandum documents an internal procedural action: the designation of CDER staff to advise and participate with CDRH in connection with the advisory committee and Commissioner review. There is no final petition decision in this document.,"Section 515(g)(2) of the Federal Food, Drug, and Cosmetic Act","The FDA formally documented its decision to adhere to separation of functions as a matter of policy in this proceeding.
- Named CDER staff were designated to support the Commissioner’s review of CDRH’s denial of PMA P080009, ensuring proper procedural boundaries during the advisory committee and review process",
FDA-2010-P-0176-0028_FDA_Office_for_Policy_to_Staff_Attorneys_re_Separa,"Stamped February 9, 2011",,"Office of the General Counsel, Chief Counsel’s Office – in connection with CDRH (Center for Devices and Radiological Health) and the Commissioner","Other – The document designates legal counsel for separation of functions in relation to a pending petition review. No decision (approval, denial, etc.) was issued.","Section 515(g)(2) of the Federal Food, Drug, and Cosmetic Act
- 21 CFR 814.44(f) – referenced as the basis for the original PMA denial by CDRH","Although no legal requirement mandates separation of functions in this proceeding, the FDA voluntarily implemented it to maintain procedural fairness.
- Attorneys were designated separately for the Commissioner and for CDRH to preserve integrity in the advisory and decision-making process.
- This followed FDA’s grant of Ethicon's petition for review of the CDRH’s prior PMA denial for the SEDASYS system",
FDA-2010-P-0176-0027_FDA_Office_for_Policy_Response_to_Goodwin_Proctor_,"Stamped March 17, 2011",,"Office of the Commissioner (Policy), coordinated with CDRH (Center for Devices and Radiological Health)",Other – The FDA reaffirmed its decision to continue with the advisory committee review process via the Medical Devices Dispute Resolution Panel for the denial of PMA P080009. No final decision to approve or deny the petition was made in this letter.,"Section 515(g)(2) of the Federal Food, Drug, and Cosmetic Act
- Section 515(d)(2)(A) and 515(d)(4)
- 21 CFR 814.44(f) and 814.45(e)(3)
- 21 CFR 10.33 and 21 CFR Part 14
- 21 CFR 10.75(b)(2) and 10.55(b)(2)(i)
- Section 562 (addressed but not applied)","FDA reviewed objections raised in a December 9, 2010 letter regarding the use of the Medical Devices Dispute Resolution Panel rather than chartering a new advisory committee.
- The agency concluded that the Panel is lawfully authorized under section 515(g)(2)(B) to conduct review of PMA denials and that no statutory or regulatory barrier prevents this referral.
- FDA rejected EES's arguments invoking Section 562, clarifying that the proceeding was being handled under Section 515(g)(2) and that Section 562 regulations were not applicable.
- Dr. David Buckles' role was defended, noting that he was properly designated to advise the Office of the Commissioner as part of the separation-of-functions policy adopted voluntarily (not mandated).
- The agency reaffirmed its intent to move forward with the referral and requested EES to designate a contact representative for ongoing proceedings",
FDA-2010-P-0176-0025_FDA_CDRH_Ombudsman_Response_to_Ethicon_Endo_Surger,"Stamped November 18, 2010",,Center for Devices and Radiological Health (CDRH) – from the Office of the Ombudsman,Other – Confirmation of process: FDA acknowledged that the petition for reconsideration was granted and outlined the next procedural step—referral to the Medical Devices Dispute Resolution Panel. No final decision on the petition itself was rendered.,"Not explicitly cited in this document. Reference made to the Guidance Document: “Resolving Scientific Disputes Concerning the Regulation of Medical Devices, A Guide to Use of the Medical Devices Dispute Resolution Panel” (July 2, 2001)"," The FDA, through the Commissioner's Office, granted the March 25, 2010 petition to review the denial of PMA P080009.
- The matter is being referred to the Medical Devices Dispute Resolution Panel as per established FDA guidance.
- The CDRH Ombudsman, Dr. David Buckles, was designated to convene the panel and serve as liaison.
- Sponsors were instructed to avoid direct contact with agency employees and instead route communications through the Ombudsman to preserve integrity during the Panel process.
- Tentative scheduling for the Panel meeting was proposed for the week of April 4, 2011",
FDA-2010-P-0176-0024_FDA_Office_for_Policy_Response_to_Ethicon_Endo_Sur,"Stamped November 5, 2010",,Office of the Commissioner (Policy) in collaboration with CDRH (Center for Devices and Radiological Health),Other – The FDA granted the petition for review of the denial of PMA P090009 and referred the matter to an advisory committee (Medical Devices Dispute Resolution Panel) for further evaluation. No final decision (approval/denial) on the PMA was issued in this letter.,"Section 515(d)(2)(A) and 515(d)(4) of the FD&C Act
- Section 515(g)(2)(A) and 515(g)(2)(B) of the FD&C Act
- 21 CFR 814.44(f)(2) and 21 CFR 814.45
- 21 CFR 10.33","FDA determined the PMA was not approvable due to insufficient evidence of safety under proposed conditions of use.
- EES sought reconsideration, which FDA treated as a request for administrative review under section 515(g)(2).
- FDA followed the regulatory procedure to issue a formal order of denial, which was then referred to the advisory committee as required by regulation.
- FDA referenced the Medical Devices Dispute Resolution Panel Guidance (July 2, 2001) as the basis for using the Panel to review this dispute.
- The Panel will ultimately submit a report and recommendation to the Chief Scientist and Deputy Commissioner for Science and Public Health",
FDA-2010-P-0176-0001_FDA_CDRH_to_Ethicon_Endo_Surgery__Inc____Denial_of,"Stamped October 26, 2010",,Center for Devices and Radiological Health (CDRH),Denied – The FDA formally denied the PMA (Premarket Approval) application P080009 for the SEDASYS™ system,"Section 515(d)(2) of the FD&C Act (21 U.S.C. 360e(d)(2))
- 21 CFR 814.44(f)
- 21 CFR 814.45(e)(3)
- 21 CFR 10.33
- Section 515(d)(4) of the FD&C Act
- 21 CFR 860.7(d)(1)
- 21 CFR 814.45(b) and 814.45©","The FDA concluded that the sponsor failed to provide reasonable assurance of safety for the SEDASYS System under the proposed labeling conditions.
- The pivotal clinical study lacked a direct comparison of SEDASYS use by gastroenterologists vs. anesthesiologists administering propofol under the FDA-approved label, making it impossible to assess relative safety risks.
- The device showed a higher incidence of deeper-than-intended sedation, including episodes of general anesthesia, compared to the control arm (“Current Standard of Care”), which FDA flagged as a serious safety signal.
- The proposed training programs (Amendments 12 and 15) were not backed by outcome-based clinical studies and considered speculative, inadequate to mitigate the safety concerns associated with broader use by less-trained clinicians.
- FDA advised that additional clinical studies are needed comparing outcomes across provider types and proposed that the sponsor develop and validate targeted training programs based on those findings.
- Notice of this denial would be published online and in the Federal Register, per 21 CFR 814.45(c)",
FDA-2010-P-0175-0007_FDA_CDER_to_Centrix_Pharmaceutical__Inc___Buchanan,"Stamped and Read March 1, 2011",,Center for Drug Evaluation and Research (CDER),Denied (on procedural grounds) – The FDA denied Centrix’s request for a stay of enforcement action relating to certain tannate-containing products.,"21 CFR 10.35 – stay procedures
- 21 CFR 10.3 – definition of administrative action
- Section 201(p) of the FD&C Act (21 U.S.C. 321(p))
- Sections 505(b), 505(j) of the FD&C Act (21 U.S.C. 355(b), 355(j))
- Sections 301(d), 505(a) (21 U.S.C. 331(d), 355(a))
- Section 502(f)(1) (21 U.S.C. 352(f)(1))
- Sections 301(a), 301(d) (21 U.S.C. 331(a), 331(d))
- Section 501(a)(2)(B) (21 U.S.C. 351(a)(2)(B))
- Cited case law: Ewing v. Mytinger & Casselberry, Inc. (1950) and Heckler v. Chaney (1985)","The requested stay of enforcement did not qualify under 21 CFR 10.35, as the action (enforcement discretion) does not fall within the scope of reviewable administrative actions.
- FDA determined that decisions to initiate or refrain from enforcement actions are within the agency’s discretion and not subject to stay or judicial review.
- The underlying Warning Letter (Feb 24, 2010) found Centrix’s products to be unapproved new drugs, misbranded, and adulterated, and required prompt corrective actions.
- The petition's claim that Centrix was being denied due process was not persuasive under current law and regulation.
- FDA reaffirmed that courts have repeatedly held agency enforcement discretion is not reviewable",
FDA-2010-P-0172-0006_FDA_CDER_to_Lachman_Consultant_Services__Inc__Resp,"Stamped December 7, 2010; Read December 9, 2010",,Center for Drug Evaluation and Research (CDER),"Denied (in substance) – FDA determined that the referenced AUGMENTIN products were not withdrawn for reasons of safety or effectiveness. Therefore, the citizen petition requesting withdrawal from the Orange Book was effectively denied.","21 CFR 314.161(a)(1) and 314.161(d) – regarding determination of withdrawal for safety/effectiveness
- 21 CFR 314.162 – list maintenance rules for Orange Book
- Section 505(j)(7) of the FD&C Act (21 U.S.C. 355(j)(7))
- 21 CFR 10.30 – citizen petition rule","After reviewing its own records and independently evaluating postmarketing data and literature, FDA concluded there was no evidence indicating that any of the listed AUGMENTIN (amoxicillin/clavulanate potassium) formulations were withdrawn for safety or efficacy reasons.
- Although the petitioner did not raise safety concerns directly, FDA conducted a voluntary review of all seven formulations, including those not mentioned in the original petition.
- Based on this review, FDA stated it would continue listing these products in the ""Discontinued Drug Product List"" section of the Orange Book, allowing their use as reference listed drugs for ANDA submissions
.",
