File Name,Date of Response,Identity of Submitting Entity,Source_Year
FDA-2015-P-3410-0003_Interim_Response_from_FDA_CDER_to_David_K__Cundiff.pdf,"September 25, 2015",FDA CDER to David K  Cundiff,2015
FDA-2015-P-3410-0004_Response_Letter_from_FDA_CDER_to_Dr__David_K__Cund.pdf,"September
28,2015",FDA CDER to Dr  David K  Cund,2015
FDA-2015-P-3621-0006_Response_Letter_from_FDA_CDER_to_Hospira.pdf,"October 7, 2015",FDA CDER to Hospira,2015
FDA-2015-P-3739-0003_Interim_Response_Letter_from_FDA_CFSAN_to_Bryan_Ku.pdf,"October 15, 2015",FDA CFSAN to Bryan Ku,2015
FDA-2015-P-3778-0012_Interim_Response_to_Orthofix.pdf,"October 14, 2015",Orthofix,2015
FDA-2015-P-3794-0003_Interim_response_letter_to_Lawrence_Savage.pdf,"October 16, 2015",Lawrence Savage,2015
FDA-2015-P-3876-0009_Interim_Response_to_World_Alliance_for_Mercury_Fre.pdf,"October 10,2015",World Alliance for Mercury Fre,2015
FDA-2015-P-3876-0010_Final_Response_Letter_from_FDA_CDRH_to_Consumers_f.pdf,"May 26, 2022",FDA CDRH to Consumers f,2015
FDA-2015-P-3959-0012_Interim_Response_from_FDA_CDER_to_The_Weston_Firm.pdf,"October 27, 2015",FDA CDER to The Weston Firm,2015
FDA-2015-P-4019-0003_Interim_Response_Letter.pdf,"October 30,2015",,2015
FDA-2015-P-4131-0004_Interim_Response_FDA_2015_P_4131.pdf,"November 6, 2015",,2015
FDA-2015-P-4131-0016_Final_Response_Letter_from_FDA_CDER_to_the_Univers.pdf,"November 4, 2015",FDA CDER to the Univers,2015
FDA-2015-P-4224-0005_Interim_Response_Letter.pdf,"November 12,2015",,2015
FDA-2015-P-4231-0006_Final_Response_Letter_from_FDA_CDER_to_RegCon_Solu.pdf,"November 12, 2015",FDA CDER to RegCon Solu,2015
FDA-2015-P-4307-0004_Interim_Response_Letter_from_FDA_CFSAN_to_Guy_Alio.pdf,"November 18, 2015",FDA CFSAN to Guy Alio,2015
FDA-2015-P-4529-0011_Interim_Response_May_19_2016.pdf,"November 24, 2015",,2015
FDA-2015-P-4564-0017_Interim_Response_Letter_from_CFSAN_to_KIND_LLC.pdf,"December 2, 2015",CFSAN to KIND LLC,2015
FDA-2015-P-4566-0004_Interim_Response_from_FDA_CDER.pdf,"December 1, 2015",FDA CDER,2015
FDA-2015-P-4566-0005_Final_Response_from_FDA_CDER_to_Buchanan_Ingersoll.pdf,"October 21, 2013",FDA CDER to Buchanan Ingersoll,2015
FDA-2015-P-4582-0008_Interim_Response_May_18_2016.pdf,"November 20, 2015",,2015
FDA-2015-P-4600-0003_Interim_Response_Letter_from_CDER_to_Bayer_HealthC.pdf,"December 4, 2015",CDER to Bayer HealthC,2015
FDA-2015-P-4601-0004_Interim_Response_re__FDA_2015_P_4601.pdf,"December 4, 2015",,2015
FDA-2015-P-4664-0031_Interim_Response_05_19_2016.pdf,"May 19, 2016",,2015
FDA-2015-P-4770-0004_Response_Letter_from_FDA_CDER_to_Epic_Pharma__LLC.pdf,"December 11, 2015",FDA CDER to Epic Pharma  LLC,2015
FDA-2015-P-4916-0004_Interim_Response_June_13_2016.pdf,"December 16, 2015",,2015
FDA-2015-P-4935-0006_Interim_Response_Letter_from_FDA_CDER_to_AbbVie_In.pdf,"December 17, 2015",FDA CDER to AbbVie In,2015
FDA-2015-P-4945-0003_Interim_Response_Letter_from_FDA_CDRH_to_Mr__Rysza.pdf,"March 14, 2016",FDA CDRH to Mr  Rysza,2015
FDA-2015-P-5022-0007_Interim_Response_from_FDA_CDER_to_PRMA.pdf,"December 22, 2015",FDA CDER to PRMA,2015
FDA-2015-P-5081-0021_Interim_Response_FDA_2015_P_5081.pdf,"December 24, 2015",,2015
FDA-2015-P-5081-0080_Final_Response_Letter_from_FDA_to_Meghan_O__Hara__.pdf,"December 24, 2015",FDA to Meghan O  Hara,2015
FDA-2016-P-0031-0004_Interim_Response.pdf,"December 30, 2015",,2016
FDA-2016-P-0135-0003_Interim_Response_from_FDA_CDER.pdf,"January 11, 2016",FDA CDER,2016
FDA-2016-P-0147-0007_Interim_Response_from_FDA_CFSAN_to_Bumble_Bee_Food.pdf,"January 15, 2016",FDA CFSAN to Bumble Bee Food,2016
FDA-2016-P-0159-0006_Denial_letter_from_the_FDA_CDRH_to_Biorex_Labs_LLC.pdf,"June 29, 2016",the FDA CDRH to Biorex Labs LLC,2016
FDA-2016-P-0214-0007_Interim_Response_from_CBER_to_Rosalind_Advisosrs_I.pdf,"January 19,2016",CBER to Rosalind Advisosrs I,2016
FDA-2016-P-0214-0008_Denial_Response_from_FDA_CBER_to_Public_Citizen.pdf,"January 16, 2016",FDA CBER to Public Citizen,2016
FDA-2016-P-0378-0004_Final_Response_Letter_June_2_2016.pdf,"January 28, 2016",,2016
FDA-2016-P-0618-0003_Interim_Response_Letter_from_FDA_CFSAN_to_Emily_Co.pdf,MAY 112016,FDA CFSAN to Emily Co,2016
FDA-2016-P-0644-0006_Final_Response_from_FDA_CDER_to__Gordon_Johnston_R.pdf,"February 22, 2016",FDA CDER to  Gordon Johnston R,2016
FDA-2016-P-0645-0012_CDER_Interim_Response_Letter_to_Pharmaceutical_Man.pdf,"February 22, 2016",Pharmaceutical Man,2016
FDA-2016-P-0645-0015_CDER_Response_Letter_to_Pharmaceutical_Manufacturi.pdf,2/26/16,Pharmaceutical Manufacturi,2016
FDA-2016-P-0656-0004_Interim_response_redacted.pdf,"February 19,2016",,2016
FDA-2016-P-0689-0003_Response_letter_from_FDA_CDER_to_the_Commissioner_.pdf,"February 24, 2016",FDA CDER to the Commissioner,2016
FDA-2016-P-0769-0003_Interim_Response_Letter_from_FDA_CDER_to_Empire_St.pdf,"February 28, 2016",FDA CDER to Empire St,2016
FDA-2016-P-0769-0007_Final_Response_Letter_from_FDA_to_Empire_State_Con.pdf,"February 26, 2016",FDA to Empire State Con,2016
FDA-2016-P-0770-0004_Interim_Response_from_FDA_CDER.pdf,"November 19, 2016",FDA CDER,2016
FDA-2016-P-1085-0004_Agency_Response_from_FDA_CDER_to_Beijing_Health_Li.pdf,"March 23, 2016",FDA CDER to Beijing Health Li,2016
FDA-2016-P-1088-0008_Agency_Response_Letter_from_FDA_CDER_to_ABHAI_LLP_.pdf,"March 23, 2016",FDA CDER to ABHAI LLP,2016
FDA-2016-P-1090-0020_Interim_Response_to_Lachman_Consulting_Services__I.pdf,"March 25,2016",Lachman Consulting Services  I,2016
FDA-2016-P-1108-0005_Response_letter_from_FDA_to_Gordon_Johnston_Regula.pdf,"April 1, 2016",FDA to Gordon Johnston Regula,2016
FDA-2016-P-1115-0051_Interim_Response_from_CDRH_to_Mostyn_Law_Firm.pdf,"March 31, 2016",CDRH to Mostyn Law Firm,2016
FDA-2016-P-1115-0054_Response_from_FDA_CDRH_to_Mostyn_Law_Firm___redact.pdf,"February 13, 2024",FDA CDRH to Mostyn Law Firm   redact,2016
FDA-2016-P-1133-0003_Denial_Response_to_Fox_Rothschild_LLP.pdf,"September 14, 2016",Fox Rothschild LLP,2016
FDA-2016-P-1163-0097_Response_Letter_from_FDA_CDER_to_Foley_Hoag_LLP.pdf,"April 15, 2016",FDA CDER to Foley Hoag LLP,2016
FDA-2016-P-1163-0100_Response_Letter_from_FDA_CDER_to_Sidley_Austin_LLP.pdf,"June 25, 2021",FDA CDER to Sidley Austin LLP,2016
FDA-2016-P-1169-0015_Reconsideration_Denial_Letter.pdf,"September 20, 2018",,2016
FDA-2016-P-1171-0004_Interim_Response_Letter_from_FDA_CFSAN_to_Breast_C.pdf,4/19/2016,FDA CFSAN to Breast C,2016
FDA-2016-P-1171-0017_Final_Response_Letter_from_FDA_CFSAN_to_Earthjusti.pdf,"July 21, 2023",FDA CFSAN to Earthjusti,2016
FDA-2016-P-1180-0029_Interim_Response_Letter_from_CFSAN_to_Top_Health_I.pdf,8/30/17,CFSAN to Top Health I,2016
FDA-2016-P-1246-0007_Response_Letter_from_FDA_DDM_to_the_Working_Group_.pdf,"May 12, 
2016",FDA DDM to the Working Group,2016
FDA-2016-P-1247-0003_Interim_response_from_CDER_to_KVK_Tech__Inc.pdf,"May 4, 2016",CDER to KVK Tech  Inc,2016
FDA-2016-P-1250-0005_Interim_response_from_CDER_to_PTS_Consulting_LLC.pdf,"May 4, 2016",CDER to PTS Consulting LLC,2016
FDA-2016-P-1251-0006_Agency_Response_from_FDA_CDER_to_Lachman_Consultan.pdf,"May 9, 2016",FDA CDER to Lachman Consultan,2016
FDA-2016-P-1285-0007_Interim_Response_Letter_from_FDA_CDER_to_Mylan_Pha.pdf,"May 12, 2016",FDA CDER to Mylan Pha,2016
FDA-2016-P-1286-0006_Response_from_Lachman_Consultant_Services.pdf,"September 22, 2020",Lachman Consultant Services,2016
FDA-2016-P-1287-0007_Approval_Letter_from_FDA_CDER_to_Lachman_Consultan.pdf,"May 13, 2016",FDA CDER to Lachman Consultan,2016
FDA-2016-P-1303-0015_Interim_Response_Letter_from_CDRH_to_Consumers_for.pdf,"May 17, 2016",CDRH to Consumers for,2016
FDA-2016-P-1303-0016_Final_Response_Letter_from_FDA_CDRH_to_Consumers_f.pdf,"May 26, 2022",FDA CDRH to Consumers f,2016
FDA-2016-P-1314-0004_Interim_Response_from_FDA_CDER_to_Center_for_Respo.pdf,"May 9, 2016",FDA CDER to Center for Respo,2016
FDA-2016-P-1314-0005_Final_Response_from_FDA_CDER_to_Center_for_Respons.pdf,"May 9, 2016",FDA CDER to Center for Respons,2016
FDA-2016-P-1319-0006_Final_Response_Letter_from_FDA_CDER_to__Florek___E.pdf,"May 23, 2016",FDA CDER to  Florek   E,2016
FDA-2016-P-1363-0004_Interim_Response_Letter_from_CDER_to_Gordon_Johnst.pdf,"May 25, 2016",CDER to Gordon Johnst,2016
FDA-2016-P-1398-0003_Interim_Response_Letter_from_CDRH_to_Dr__Hooman_No.pdf,"May 31, 2016",CDRH to Dr  Hooman No,2016
FDA-2016-P-1547-0005_Approval_letter_from_CDER_FDA_to_Baxter_Healthcare.pdf,"June 8, 2016",CDER FDA to Baxter Healthcare,2016
FDA-2016-P-1650-0004_Interim_Response_Letter.pdf,"June 14, 2016",,2016
FDA-2016-P-1667-0005_Interim_Response_Letter_from_CDER_to_Zydus_Pharmac.pdf,"June 15, 2016",CDER to Zydus Pharmac,2016
FDA-2016-P-1667-0006_Response_Letter_from_FDA_CDER.pdf,"June 16, 2016",FDA CDER,2016
FDA-2016-P-1674-0007_Interim_Response_Letter_from_CFSAN_to_Tate___Lyle_.pdf,"June 16, 2016",CFSAN to Tate   Lyle,2016
FDA-2016-P-1674-0008_FDA_2016_P_1674_TateLyle_Granting_Response.pdf,"June 13, 2018",,2016
FDA-2016-P-1676-0005_Interim_Response_Letter_to_JR_Rapoza_Associates__I.pdf,"June 16, 2016",JR Rapoza Associates  I,2016
FDA-2016-P-1676-0006_Final_Response_Letter_to_JR_Rapoza_Associates__Inc.pdf,"June 16,2016",JR Rapoza Associates  Inc,2016
FDA-2016-P-1725-0003_Interim_Response_from_FDA_CDER_to_Lachman_Consulta.pdf,"June 20,2016",FDA CDER to Lachman Consulta,2016
FDA-2016-P-1825-0005_Interim_Response_Letter_from_FDA_CDER_to_Lachman_C.pdf,"June 24, 2016",FDA CDER to Lachman C,2016
FDA-2016-P-1825-0006_Final_Response_Letter_from_FDA_to_Lachman_Consulta.pdf,"June 24, 2016",FDA to Lachman Consulta,2016
FDA-2016-P-1852-0059_Interim_Response_Letter_from_CFSAN_to_Organic_Past.pdf,"June 22, 2016",CFSAN to Organic Past,2016
FDA-2016-P-1852-0060_Response_Request_Letter_from_Farm_to_Consumer_Lega.pdf,"August 2, 2019",Farm to Consumer Lega,2016
FDA-2016-P-1874-0005_Interim_Response_Letter_from_CDER_to_Public_Citize.pdf,"June 29, 2016",CDER to Public Citize,2016
FDA-2016-P-1874-0007_Denial_Response_Letter_from_FDA_CDER_to_Public_Cit.pdf,"June 29, 2016",FDA CDER to Public Cit,2016
FDA-2016-P-1946-0008_CP_Denial_Letter_from_FDA_CDER_to_Hyman__Phelps___.pdf,"July 1, 2016",FDA CDER to Hyman  Phelps,2016
FDA-2016-P-1952-0005_Response_letter_from_FDA_CDER_to_Fresenius_Kabi_US.pdf,"July 5, 2016",FDA CDER to Fresenius Kabi US,2016
FDA-2016-P-1962-0003_Interim_Response_Letter_from_FDA_CDER_to_Hyman__Ph.pdf,"July 6, 2016",FDA CDER to Hyman  Ph,2016
FDA-2016-P-1962-0005_FDA_2016_P_1962_Response_to_Comments.pdf,"July 13, 2018",Comments,2016
FDA-2016-P-2030-0011_Interim_Response_Letter_from_CFSAN_to_The_Food_Law.pdf,"July 13,2016",CFSAN to The Food Law,2016
FDA-2016-P-2072-0005_Part_approval_and_denial_letter_from_CDER_FDA_to_P.pdf,"July 11, 2016",CDER FDA to P,2016
FDA-2016-P-2091-0005_Response_letter_from_FDA_CDER_to_ANDA_Consultants.pdf,"July 14, 2016",FDA CDER to ANDA Consultants,2016
FDA-2016-P-2375-0004_Interim_Response_Letter_from_CDER_to_Akorn_Pharmac.pdf,"July 27, 2016",CDER to Akorn Pharmac,2016
FDA-2016-P-2377-0010_Interim_Response_Letter_from_CFSAN_to_Archer_Danie.pdf,"July 22, 2016",CFSAN to Archer Danie,2016
FDA-2016-P-2497-0005_Interim_Response_Letter_from_CDRH_to_Clinical_Deci.pdf,"August 16,2016",CDRH to Clinical Deci,2016
FDA-2016-P-2532-0003_Response_letter_from_FDA_to_David_K__Cundiff__M_D_.pdf,"August 25, 2016",FDA to David K  Cundiff  M D,2016
FDA-2016-P-2532-0004_30_Day_Response_Letter_from_FDA_CFSAN__to_Dr__Cund.pdf,"August 25, 2016",FDA CFSAN  to Dr  Cund,2016
FDA-2016-P-2533-0003_Interim_Response_Letter_from_CVM_to_American_Feed_.pdf,"March 10, 2017",CVM to American Feed,2016
FDA-2016-P-2533-0004_Final_Response_from_FDA_CVM_to_American_Feed_Indus.pdf,"November 9, 2022",FDA CVM to American Feed Indus,2016
FDA-2016-P-2558-0018_Interim_Response_Letter_from_CDER_to_Similasan_Cor.pdf,"August 25, 2016",CDER to Similasan Cor,2016
FDA-2016-P-2558-0019_Agency_Response_Letter_from_CDER_to_Similasan_Corp.pdf,"August 29, 2016",CDER to Similasan Corp,2016
FDA-2016-P-2559-0026_Interim_Response_Letter_from_CDRH_to_Emord_and_Ass.pdf,"August 25, 2016",CDRH to Emord and Ass,2016
FDA-2016-P-2674-0004_FDA_CDER_Response_to_Heritage_Pharma_Labs__Inc_.pdf,"August 31, 2016",Heritage Pharma Labs  Inc,2016
FDA-2016-P-2675-0004_Interim_response_from_FDA_CDER_to_Foley___Lardner_.pdf,"September 7, 2016",FDA CDER to Foley   Lardner,2016
FDA-2016-P-2676-0004_Interim_Response_Letter_from_CFSAN_to_Joshua_Schro.pdf,"August 31,2016",CFSAN to Joshua Schro,2016
FDA-2016-P-2736-0076_Interim_Response_Letter_from_CFSAN_to_Hyman__Phelp.pdf,"September 14, 2016",CFSAN to Hyman  Phelp,2016
FDA-2016-P-2736-0077_FDA_2016_P_2736_Hyman_Phelps___Granting_Response.pdf,"June 13, 2018",,2016
FDA-2016-P-2737-0125_Interim_Response_Letter_from_CVM_to_Natural_Resour.pdf,"March 10, 2017",CVM to Natural Resour,2016
FDA-2016-P-2737-0144_Final_Response_Letter_to_Natural_Resources_Defense.pdf,"February 25, 2021",Natural Resources Defense,2016
FDA-2016-P-2738-0003_Interim_Response_Letter_from_FDA_CDER_to_Metabolic.pdf,"September 14, 2016",FDA CDER to Metabolic,2016
FDA-2016-P-2860-0005_Interim_Response_Letter_from_CFSAN_to_General_Mill.pdf,"September 22, 2016",CFSAN to General Mill,2016
FDA-2016-P-2955-0053_Interim_Response_fromCBER_to_Nicholas_Isel___redac.pdf,"September 27, 2016",Nicholas Isel   redac,2016
FDA-2016-P-2955-0088_Response_from_FDA_CBER_to_Nicholas_Isel_Redacted.pdf,"September 15, 2016",FDA CBER to Nicholas Isel Redacted,2016
FDA-2016-P-2955-0136_Interim_Response_Letter_from_FDA_CBER_to_Rozovics_.pdf,"September 10, 2018",FDA CBER to Rozovics,2016
FDA-2016-P-3070-0010_Interim_Response_Letter_from_CFSAN_to_DuPont_Nutri.pdf,"September 30, 
2016",CFSAN to DuPont Nutri,2016
FDA-2016-P-3082-0014_Interim_Response_Letter_from_FDA_CDER_to__Ropes___.pdf,"September 30, 2016",FDA CDER to  Ropes,2016
FDA-2016-P-3112-0003_Interim_Response_Letter_from_FDA_OC_to_Mr__Mario_M.pdf,"January 19, 2017",FDA OC to Mr  Mario M,2016
FDA-2016-P-3195-0004_Denial_Letter_from_CDRH__to_Wood__Herron___Evans__.pdf,"October 6, 2016",CDRH  to Wood  Herron   Evans,2016
FDA-2016-P-3311-0012_Interim_Response_Letter_fromCFSAN_to_Tate___Lyle_I.pdf,"October 12,2016",Tate   Lyle I,2016
FDA-2016-P-3313-0004_CP_Response_from_FDA_CDER_to_Kleinfeld__Kaplan_and.pdf,"October 12, 2016",FDA CDER to Kleinfeld  Kaplan and,2016
FDA-2016-P-3356-0018_CP_Response_from_FDA_CDER_to_Sandoz_Inc_.pdf,"October 13, 2016",FDA CDER to Sandoz Inc,2016
FDA-2016-P-3578-0003_Interim_Response_Letter_from_CVM_to_TruthinPetFood.pdf,"October 27,2016",CVM to TruthinPetFood,2016
FDA-2016-P-3578-0006_Final_Response___Letter_from_FDA_CVM_to_Associatio.pdf,"April 30, 2019",FDA CVM to Associatio,2016
FDA-2016-P-3578-0838_Final_Response_Letter_from_FDA_CVM_to_Association_.pdf,"April 30, 2019",FDA CVM to Association,2016
FDA-2016-P-3598-0004_Interim_Response_from_FDA_to_Axinn_Veltrop___Harkr.pdf,"October 27, 2016",FDA to Axinn Veltrop   Harkr,2016
FDA-2016-P-3598-0005_Final_Response_Letter_from_FDA_to_Axinn__Veltrop__.pdf,"October 27, 2016",FDA to Axinn  Veltrop,2016
FDA-2016-P-3620-0010_Interim_Response_Letter_from_CFSAN_to_MGP_Ingredie.pdf,"October 31, 2016",CFSAN to MGP Ingredie,2016
FDA-2016-P-3674-0023_Interim_Response_Letter_from_CDRH_to_Consumers_for.pdf,"November 1, 2016",CDRH to Consumers for,2016
FDA-2016-P-3674-0024_Final_Response_Letter_from_FDA_CDRH_to_Consumers_f.pdf,"May 26, 2022",FDA CDRH to Consumers f,2016
FDA-2016-P-3753-0006_Interim_Response_Letter_from_FDA_CDER_to_MacLeods_.pdf,"November 7, 2016",FDA CDER to MacLeods,2016
FDA-2016-P-3823-0003_Agency_Response_Letter_from_FDA_CFSAN_to_Jennifer_.pdf,"October 13, 
2016",FDA CFSAN to Jennifer,2016
FDA-2016-P-3968-0136_Interim_Response_from_FDA_to_International_Probiot.pdf,"February 2, 2018",FDA to International Probiot,2016
FDA-2016-P-4047-0003_Interim_Response_Letter_from_CDER_to_Mayne_Pharma_.pdf,"November 22, 2016",CDER to Mayne Pharma,2016
FDA-2016-P-4047-0005_Final_Response_Letter_from_CDER_to_Mayne_Pharma_ln.pdf,"November 22,2016",CDER to Mayne Pharma ln,2016
FDA-2016-P-4094-0003_Response_Letter_from_FDA_CDER_to_Adapt_Pharma_Oper.pdf,"November 23, 2016",FDA CDER to Adapt Pharma Oper,2016
FDA-2016-P-4095-0005_Final_Response_from_FDA_CDER_to_Mapi_USA__Inc_.pdf,"November 24, 2016",FDA CDER to Mapi USA  Inc,2016
FDA-2016-P-4141-0003_Interim_Response_Letter_from_CDER_to_Hyman__Phelps.pdf,MAY 17 2017,CDER to Hyman  Phelps,2016
FDA-2016-P-4141-0004_Response_Letter_from_CDER_to_Hyman__Phelps___McNam.pdf,MAY 17 2017,CDER to Hyman  Phelps   McNam,2016
FDA-2016-P-4164-0006_Response_for_Information_Request_from_Lachman_Cons.pdf,"September 3, 2020",Lachman Cons,2016
FDA-2016-P-4186-0003_Interim_Response_from_FDA_CDER_to_Lachman_Consulta.pdf,"December 1, 2016",FDA CDER to Lachman Consulta,2016
FDA-2016-P-4186-0004_Response_Letter_from_FDA_CDER_to_Lachman_Consultan.pdf,"December 1, 2016",FDA CDER to Lachman Consultan,2016
FDA-2016-P-4233-0008_CFSAN_Interim_Response_Letter_to_KFSU_Ltd_Sugarcan.pdf,"December 6, 
2016",KFSU Ltd Sugarcan,2016
FDA-2016-P-4233-0009_FDA_2016_P_4233___KFSU_Granting_Response_Letter.pdf,"June 13, 2018",,2016
FDA-2016-P-4275-0055_CFSAN_Interim_Response_Letter__to_BioNeutra_North_.pdf,"December 8, 
2016",BioNeutra North,2016
FDA-2016-P-4388-0009_Interim_Response_Letter_from_FDA_CDER_to_Dr__S__Va.pdf,"December 21, 2016",FDA CDER to Dr  S  Va,2016
FDA-2016-P-4388-0013_Response_Letter_from_FDA_CDER_to_Dr__S__Varghese.pdf,"June 7, 2016",FDA CDER to Dr  S  Varghese,2016
FDA-2016-P-4584-0012_Response_letter_from_FDA_CDER_to_Public_Citizen_s_.pdf,"December 28, 2016",FDA CDER to Public Citizen s,2016
FDA-2017-P-0052-0150_Interim_Response_from_CBER_to_Donor_Sibling_Regist.pdf,"January 3, 2017",CBER to Donor Sibling Regist,2017
FDA-2017-P-0052-0203_Response_letter_from_FDA_CBER_to_Donor_Sibling_Reg.pdf,"January 3, 2017",FDA CBER to Donor Sibling Reg,2017
FDA-2017-P-0137-0005_Interim_Response_Letter_to_Macleods_Pharmaceutical.pdf,"January 9, 2017",Macleods Pharmaceutical,2017
FDA-2017-P-0176-0003_Interim_Response_from_FDA_to_American_Herbal_Produ.pdf,"February 2, 2018",FDA to American Herbal Produ,2017
FDA-2017-P-0495-0003_Interim_Response_Letter_from_FDA_CDER_to_Lachman_C.pdf,"January 25, 2017",FDA CDER to Lachman C,2017
FDA-2017-P-0508-0040_Interim_Response_Letter_from_CFSAN_to_Union_of_Con.pdf,"January 25, 2017",CFSAN to Union of Con,2017
FDA-2017-P-0840-0003_Interim_Response_Letter_from_CDER_to_The_Weinberg_.pdf,"February 8, 2017",CDER to The Weinberg,2017
FDA-2017-P-0840-0005_Final_Response_Letter_from_CDER_to_The_Weinberg_Gr.pdf,"February 8, 2017",CDER to The Weinberg Gr,2017
FDA-2017-P-0864-0003_Interim_Response_Letter_from_CDER_to_Hyman__Phelps.pdf,"February 8, 2017",CDER to Hyman  Phelps,2017
FDA-2017-P-0866-0003_Interim_Response_Letter_from_CDER_to_Hyman__Phelps.pdf,"February 8, 2017",CDER to Hyman  Phelps,2017
FDA-2017-P-0866-0004_Response_Letter_from_CDER_to_Hyman__Phelps___McNam.pdf,"February 8, 2017",CDER to Hyman  Phelps   McNam,2017
FDA-2017-P-0867-0103_Interim_Response_from_CBER_to_Public_Citizen_2.pdf,"July 25, 2017",CBER to Public Citizen 2,2017
FDA-2017-P-0867-0107_Final_Response_Letter_from_FDA_CBER_to_Public_Citi.pdf,"July 7, 2021",FDA CBER to Public Citi,2017
FDA-2017-P-0970-0006_Interim_response_letter_from_FDA_CFSAN_to_RiceBran.pdf,"February 14, 
2017",FDA CFSAN to RiceBran,2017
FDA-2017-P-0970-0007_FDA_2017_P_0970_RiceBran_Granting_Response.pdf,"June 13, 2018",,2017
FDA-2017-P-1002-0003_Denial_Response_from_FDA_CDRH_to_INRange_Systems__.pdf,"February 13, 2017",FDA CDRH to INRange Systems,2017
FDA-2017-P-1077-0003_Interim_Response_Letter_from_CDER_to_Recordati_Rar.pdf,"March 2, 2017",CDER to Recordati Rar,2017
FDA-2017-P-1077-0004_Response_Letter_from_CDER_to_Recordati_Rare_Diseas.pdf,"March 2, 2017",CDER to Recordati Rare Diseas,2017
FDA-2017-P-1096-0003_Interim_Response_Letter_from_CDER_to_Hyman__Phelps.pdf,"February 17,2017",CDER to Hyman  Phelps,2017
FDA-2017-P-1096-0004_Response_Letter_from_FDA_CDER_to_Hyman__Phelps___M.pdf,8/16/17,FDA CDER to Hyman  Phelps   M,2017
FDA-2017-P-1104-0007_Interim_Response_Letter_from_CDER_to_Gator_Pharmac.pdf,10/10/19,CDER to Gator Pharmac,2017
FDA-2017-P-1108-0005_Response_Letter_from_FDA_to_Orbicular_Pharmaceutic.pdf,"February 22, 2017",FDA to Orbicular Pharmaceutic,2017
FDA-2017-P-1226-0004_Denial_Response_from_FDA_CDRH_to_INRange_Systems_I.pdf,"February 24, 2017",FDA CDRH to INRange Systems I,2017
FDA-2017-P-1230-0004_Interim_Response_from_FDA_CDER_to_RegCon_Solutions.pdf,"February 27, 2017",FDA CDER to RegCon Solutions,2017
FDA-2017-P-1230-0006_Final_Response_from_FDA_CDER_to_RegCon_Solutions.pdf,"February 27, 2017",FDA CDER to RegCon Solutions,2017
FDA-2017-P-1251-0003_Tentative_Response_from_FDA_CVM_to_NGFA.pdf,"August 22, 2017",FDA CVM to NGFA,2017
FDA-2017-P-1251-0004_Final_Response_from_FDA_CVM_to_American_Feed_Indus.pdf,"November 9, 2022",FDA CVM to American Feed Indus,2017
FDA-2017-P-1252-0003_Interim_Response_Letter_from_FDA_CDER_to_Xiromed_L.pdf,"February 27, 2017",FDA CDER to Xiromed L,2017
FDA-2017-P-1252-0004_Response_Letter_from_FDA_CDER_to__VKT_Pharma_Priva.pdf,"May 4, 2017",FDA CDER to  VKT Pharma Priva,2017
FDA-2017-P-1297-0006_Interim_Response_Letter_from_FDA_CDER_to_Regcon_So.pdf,"March 1, 2017",FDA CDER to Regcon So,2017
FDA-2017-P-1298-0091_Interim_Response_Letter_from_FDA_CFSAN_to_The_Good.pdf,"March 2, 2017",FDA CFSAN to The Good,2017
FDA-2017-P-1359-0026_Interim_Response_Letter_from_FDA_CDER_to_Pharmaceu.pdf,"March 6, 2017",FDA CDER to Pharmaceu,2017
FDA-2017-P-1460-0003_Interim_Response_Letter_from_FDA_CDER_to_Covington.pdf,"March 8, 2017",FDA CDER to Covington,2017
FDA-2017-P-1461-0004_Response_Letter_from_FDA_CDER_to_Foley___Lardner_L.pdf,"March 8, 2017",FDA CDER to Foley   Lardner L,2017
FDA-2017-P-1573-0002_Prior_approval_supplemental_letter_from_CDER_to_Pa.pdf,"January 8, 2016",CDER to Pa,2017
FDA-2017-P-1990-0016_Interim_Response_Letter_from_FDA_to_AIDP.pdf,"March 30, 2017",FDA to AIDP,2017
FDA-2017-P-2043-0005_Interim_Response_Letter_to_Yiling_Pharmaceutical__.pdf,"March 31, 2017",Yiling Pharmaceutical,2017
FDA-2017-P-2043-0006_Response_Letter_from_FDA_to_Yiling_Pharmaceuticals.pdf,"March 31, 2017",FDA to Yiling Pharmaceuticals,2017
FDA-2017-P-2044-0017_Final_Determination_Response_to_Nirsum_Pharmaceuti.pdf,"March 31, 2017",Nirsum Pharmaceuti,2017
FDA-2017-P-2092-0018_Interim_Response_Letter_from_CDER_to_Wilson_Sonsin.pdf,"April 3, 2017",CDER to Wilson Sonsin,2017
FDA-2017-P-2092-0019_Response_Letter_from_FDA_CDER_to_Wilson_Sonsini_Go.pdf,"April 3, 2017",FDA CDER to Wilson Sonsini Go,2017
FDA-2017-P-2164-0005_Interim_Response_Letter_to_Steptoe___Johnson_LLP_d.pdf,"December 1, 2014",Steptoe   Johnson LLP d,2017
FDA-2017-P-2229-0013_Interim_Response_Letter_from_CFSAN_to_Covington___.pdf,"April 7, 2017",CFSAN to Covington,2017
FDA-2017-P-2229-0014_Interim_Response_Letter_from_CFSAN_to_American_Bak.pdf,"April 7, 2017",CFSAN to American Bak,2017
FDA-2017-P-2233-0052_Interim_Response_from_FDA_to_Consumers_for_Dental_.pdf,"April 7, 2017",FDA to Consumers for Dental,2017
